Owned By Check,Owned Name,Postal,Unique ID,Notes,House Name,MLO/SHELL/IPL,Shell Name,MLO Name,Rental/Mortgage,Downpayment,Total Value or Daily Rent Price,Current Mortgage Remaining,Last Login Date,Property Tax Missed,TBX Only,TBX Cost,Numb,Personal Garage,Shell Yard,Storage Count,Buisness lookup
T528GP43,Tristan Cabinson,8043,10013.0,,8043 Digital Den,mlo,,,Rent,$0.00,"$3,000.00",RENTAL PROPERTY,9/16/2025 3:00:12,0,True,$15/Mo,$15.00,❌,❌,15,digital_8043
F9TEOUIK,Twin Turbozs,3043,10224.0,,3043 Trailer B,shell,"""shell_trailer""",,Sale,"$4,500.00","$90,000.00",PAID OFF,9/5/2025 5:16:25,0,False,,,❌,❌,20,
Y01XETAS,Jack Wilson,1071,10288.0,,1071 Procopio Dr 2,shell,"""shell_medium2""",,Sale,"$18,500.00","$370,000.00","$320,744.00",9/3/2025 22:54:52,0,False,,,❌,❌,20,
,,Galapagos,10353.0,,Galapagos Get Away,mlo,,,Sale,"$60,000.00","$1,200,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,6037,10588.0,,6037 Hangman Ave,shell,"""k4_mansion2_shell""",,Sale,"$200,000.00","$4,000,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,35,
YBSM1031,Xing Chao,1080,10622.0,,1080 Activity,shell,"""default_housing2_k4mb1""",,Rent,$0.00,"$6,000.00",RENTAL PROPERTY,9/15/2025 8:57:59,0,False,,,❌,❌,5,activities_1080
P4PCXY6F,Leon Noel,7333,10811.0,,Mirror Park East Mirror Dr 133,shell,"""medium_housing1_k4mb1""",,Sale,"$40,000.00","$800,000.00","$322,136.00",9/16/2025 9:03:44,0,False,,,❌,❌,20,
ZW71YK3B,Stepphi Gale,6004,10957.0,,SAFR Mansion,shell,"""vinewood_housing2_k4mb1""",,Sale,"$132,500.00","$2,650,000.00","$1,798,571.00",9/16/2025 1:30:57,0,False,,,❌,❌,25,
C225322D,Donald Rodgers,6017,11007.0,,6017 Richman North Rockford Dr 700,shell,"""classichouse2_shell""",,Sale,"$105,000.00","$2,100,000.00","$1,594,081.00",9/16/2025 7:05:00,0,False,,,❌,❌,20,
AQD91108,Pete Maverick,3002,11109.0,,3002 Digital Den,shell,"""shell_store3""",,Rent,$0.00,"$2,300.00",RENTAL PROPERTY,9/16/2025 3:00:57,0,False,,,❌,❌,10,digital_3002
VDMEN12M,Joey Stockton,4013,11111.0,,4013 Joshua Road House F,shell,"""stashhouse2_shell""",,Sale,"$6,000.00","$120,000.00","$110,382.00",9/16/2025 8:39:42,0,False,,,❌,❌,20,
OAA043JE,Jim Feely,3034,11128.0,,Stab City trailer F,shell,"""shell_trailer""",,Sale,"$3,500.00","$70,000.00",PAID OFF,9/8/2025 23:08:58,0,False,,,❌,❌,20,
,,4016,11208.0,,4016 Route 68 D,shell,"""shell_trailer""",,Sale,"$4,000.00","$80,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,783,11244.0,,783 Roxwood G,shell,"""default_housing6_k4mb1""",,Rent,$0.00,"$2,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,Cayo,12009.0,,Cayo Circle K,shell,"""shell_store3""",,Rent,$0.00,"$3,800.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,gas_cayo_01
B7RKW002,Jay Smith,3034,12020.0,,Stab City Trailer I,shell,"""shell_trailer""",,Sale,"$3,500.00","$70,000.00",PAID OFF,9/16/2025 6:00:06,0,False,,,❌,❌,20,
,,6073,12595.0,,6073 Vinewood Hills Lake Vinewood Dr 352,shell,"""deluxe_housing3_k4mb1""",,Sale,"$282,500.00","$5,650,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
MS28JC4G,Zachary Wilmes,1064,12622.0,,1064 Procopio Dr,shell,"""medium_housing1_k4mb1""",,Sale,"$18,000.00","$360,000.00",PAID OFF,9/14/2025 5:00:07,0,False,,,❌,❌,20,
J029KXMG,Nathan Barns,8194,12985.0,,8194 Ammunation,shell,"""shell_warehouse3""",,Rent,$0.00,"$4,800.00",RENTAL PROPERTY,9/13/2025 11:27:15,0,False,,,❌,❌,5,ammunation_8194
V3L5H9B9,Nathan Cross,9046,13029.0,,9046 24/7,mlo,,,Rent,$0.00,"$5,800.00",RENTAL PROPERTY,9/16/2025 3:19:53,0,False,,,❌,❌,5,247_9046
G79VP62Z,Elijah Miller,7298,62923.0,,7298 Apartment A,shell,"""k4_motel1_shell""",,Sale,"$4,500.00","$90,000.00","$85,500.00",9/16/2025 1:08:38,0,False,,,❌,❌,20,
,,6057,92497.0,,6057 Kimble Hill Drive,shell,"""k4_mansion3_shell""",,Sale,"$100,000.00","$2,000,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
WOH47018,Alexandre Phillips,9093,13437.0,,9093 Warehouse,shell,"""shell_warehouse2""",,Rent,$0.00,"$6,000.00",RENTAL PROPERTY,9/1/2025 0:20:23,0,False,,,❌,❌,20,
J760GBMP,owen Mathers,7306,13474.0,"Once unowned, remake to fix furniture place issue",7306 Bridge Street,shell,"""luxury_housing2_k4mb1""",,Sale,"$50,000.00","$1,000,000.00","$695,876.00",9/15/2025 0:25:33,0,False,,,❌,❌,20,
A6C2EWS2,Biz Khalifa,7308,13556.0,,7308 Nikola Ave,mlo,,,Sale,"$50,500.00","$1,010,000.00","$512,944.00",8/31/2025 20:44:30,0,False,,,❌,❌,5,
,,Forum,13658.0,,Forum Drive Apartments #7,shell,"""k4_motel1_shell""",,Rent,$0.00,$800.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,Laguna Retreat,13761.0,"(-5025.38, 2732.03, 0.0)",Laguna Retreat,shell,"""k4mb1_basement5_shell""",,Rent,$0.00,"$3,500.00",AVAILABLE,AVAILABLE,0,True,$25/Mo,$25.00,❌,❌,30,
,,9095,14225.0,,9095 Grove Street A,shell,"""kambi_emptyhouse1""",,Sale,"$20,000.00","$400,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,Sandy,14640.0,,Sandy Motel Rm#218,mlo,,cfx_gn_sandy_motel,Rent,$0.00,$450.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,10079,14808.0,,10079 Nightclub,mlo,,,Rent,$0.00,"$4,000.00",AVAILABLE,AVAILABLE,0,True,$20/month,$20.00,❌,❌,5,bar_10079
,,3034,14948.0,,Stab City Trailer G,shell,"""shell_trailer""",,Sale,"$3,500.00","$70,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
